"Zeitstempel";"Solarproduktion-Tracker 1";"Solarproduktion-Tracker 2";"Solarproduktion-Tracker 3";"Batterie Laden";"Batterie Entladen";"Solarproduktion";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Summe Wallbox Laden";"Wallbox Solarladeleistung";"Summe Wallbox Laden ID: 0";"Wallbox Solarladeleistung ID: 0";"Wallbox Netzbezug ID: 0";"Summe Verbrauch";"Abregelungsgrenze"
01.01.2023;242952;18456;0;120521;108110;261408;5559;468947;556884;123443;43516;123443;43516;;680327;563064
01.02.2023;622089;43735;0;232960;212400;665824;158779;236508;516165;150908;102070;150908;102070;;667073;522345
01.03.2023;917789;68253;0;353542;334288;986042;241188;110833;496985;255335;228800;255335;228800;;752320;503165
01.04.2023;927006;70378;0;300641;274047;997384;314246;70696;442500;203351;175924;203351;175924;;645851;448680
01.05.2023;1310796;88706;0;312806;297902;1399502;637261;20915;428357;246845;246000;246845;246000;;675202;434537
01.06.2023;1658250;104850;0;258465;239359;1763100;1033816;5748;409685;209703;209054;209703;209054;;619388;415865
01.07.2023;1413918;70625;0;269958;255493;1484543;790696;20978;384982;219838;217190;219838;217190;;604820;391162
01.08.2023;1164168;62166;0;317388;306455;1226334;464039;32453;471371;217071;214877;217071;214877;;688442;477551
01.09.2023;1355724;87844;0;313930;293783;1443568;725836;17521;437651;182053;181032;182053;181032;;619704;443831
01.10.2023;830590;59207;0;284595;270488;889797;302303;80655;417520;158457;150469;158457;150469;;575977;423700
01.11.2023;308698;27572;0;146895;134649;336270;31572;476303;502063;230325;75665;230325;75665;;732388;508243
01.12.2023;255552;21318;0;115757;103936;276870;35815;541215;558198;184069;43712;184069;43712;;742267;564378
