"Zeitstempel";"Solarproduktion-Tracker 1";"Solarproduktion-Tracker 2";"Solarproduktion-Tracker 3";"Batterie Laden";"Batterie Entladen";"Solarproduktion";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Summe Wallbox Laden";"Wallbox Solarladeleistung";"Summe Wallbox Laden ID: 0";"Wallbox Solarladeleistung ID: 0";"Wallbox Netzbezug ID: 0";"Summe Verbrauch";"Abregelungsgrenze"
01.01.2024;491002;29616;0;181333;166884;520618;68043;424184;567664;253062;141629;253062;141629;;820726;573844
01.02.2024;498894;27346;0;222881;208084;526240;33282;333950;502472;258419;142831;258419;142831;;760891;508652
01.03.2024;858694;47990;0;327914;306961;906684;175687;120073;524938;229578;211963;229578;211963;;754516;531118
01.04.2024;1116274;49459;0;335145;310251;1165733;376210;37674;453463;256964;231864;256964;231864;;710427;459643
01.05.2024;1216078;40650;0;341874;319717;1256728;464095;30289;427563;277745;269648;277745;269648;;705308;433743
01.06.2024;1173794;28922;0;309913;296108;1202716;466136;16250;417267;227851;225132;227851;225132;;645118;423447
01.07.2024;1261364;24189;0;320031;306684;1285553;505356;12362;418497;261035;258560;261035;258560;;679532;424677
01.08.2024;1223094;18239;0;315433;298527;1241333;521730;26891;418956;211726;202819;211726;202819;;630682;425136
01.09.2024;889276;30773;0;310466;296804;920049;298064;57820;405786;174009;161104;174009;161104;;579795;411966
01.10.2024;520096;24463;0;235517;224099;544559;90478;322570;477564;225959;81365;225959;81365;;703523;483744
01.11.2024;347644;21979;0;153573;140283;369623;25459;456873;542296;208033;61474;208033;61474;;750329;548476
01.12.2024;319856;19649;0;151057;138781;339505;36185;535751;550171;241309;60452;241309;60452;;791480;556351
