"Zeitstempel";"Solarproduktion-Tracker 1";"Solarproduktion-Tracker 2";"Solarproduktion-Tracker 3";"Batterie Laden";"Batterie Entladen";"Solarproduktion";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Summe Wallbox Laden";"Wallbox Solarladeleistung";"Summe Wallbox Laden ID: 0";"Wallbox Solarladeleistung ID: 0";"Wallbox Netzbezug ID: 0";"Summe Verbrauch";"Abregelungsgrenze"
01.07.2021;18000;5920;0;5850;0;23920;15180;35510;37950;0;0;0;0;0;37950;0
01.08.2021;769900;257000;0;262400;249600;1027000;547300;47540;438700;0;0;0;0;0;438700;0
01.09.2021;929900;376000;0;299300;280400;1306000;750500;20730;478400;0;0;0;0;0;478400;0
01.10.2021;886800;63380;0;300900;285100;950200;403000;99680;558100;0;0;0;0;0;558100;0
01.11.2021;352500;24140;0;144700;133100;376600;94280;329400;562400;0;0;0;0;0;562400;0
01.12.2021;286200;20000;0;129500;115700;306200;53800;419400;624000;0;0;0;0;0;624000;0
