"Zeitstempel";"Solarproduktion-Tracker 1";"Solarproduktion-Tracker 2";"Solarproduktion-Tracker 3";"Batterie Laden";"Batterie Entladen";"Solarproduktion";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Summe Wallbox Laden";"Wallbox Solarladeleistung";"Summe Wallbox Laden ID: 0";"Wallbox Solarladeleistung ID: 0";"Wallbox Netzbezug ID: 0";"Summe Verbrauch";"Abregelungsgrenze"
01.01.2026;442352;30595;0;185355;174432;472947;1596;1775582;1933160;264324;35654;264324;35654;;2197484;1939340
01.02.2026;410320;30151;0;172354;163077;440471;8272;1317289;1430617;268814;31880;268814;31880;;1699431;1436797
01.03.2026;1128272;88938;0;556127;539597;1217210;90248;507633;1264779;256587;222639;256587;222639;;1521366;1270959
01.04.2026;1248452;97021;0;482692;446158;1345473;304777;168143;852264;220499;190715;220499;190715;;1072763;858444
